benchmark,binary,funccount,percent,sp_increments,increment_sum,increment_sum_abs
"500.perlbench_r","perlbench_r.wasm",7,0.34013605,"[-272]",-272,272
"500.perlbench_r","perlbench_r.wasm",7,0.34013605,"[-240]",-240,240
"500.perlbench_r","perlbench_r.wasm",7,0.34013605,"[-208]",-208,208
"500.perlbench_r","perlbench_r.wasm",7,0.34013605,"[-176]",-176,176
"500.perlbench_r","perlbench_r.wasm",8,0.38872692,"[-256]",-256,256
"500.perlbench_r","perlbench_r.wasm",8,0.38872692,"[-160]",-160,160
"500.perlbench_r","perlbench_r.wasm",8,0.38872692,"[-144]",-144,144
"500.perlbench_r","perlbench_r.wasm",12,0.58309036,"[-112]",-112,112
"500.perlbench_r","perlbench_r.wasm",13,0.63168126,"[-128]",-128,128
"500.perlbench_r","perlbench_r.wasm",17,0.8260447,"[-96]",-96,96
"500.perlbench_r","perlbench_r.wasm",33,1.6034986,"[-80]",-80,80
"500.perlbench_r","perlbench_r.wasm",41,1.9922254,"[-64]",-64,64
"500.perlbench_r","perlbench_r.wasm",60,2.915452,"[-48]",-48,48
"500.perlbench_r","perlbench_r.wasm",108,5.247813,"[-32]",-32,32
"500.perlbench_r","perlbench_r.wasm",529,25.704567,"[-16]",-16,16
"500.perlbench_r","perlbench_r.wasm",1120,54.42177,"[]",0,0
"502.gcc_r","cpugcc_r.wasm",1,0.010526316,"[-8960]",-8960,8960
"502.gcc_r","cpugcc_r.wasm",1,0.010526316,"[-6352]",-6352,6352
"502.gcc_r","cpugcc_r.wasm",1,0.010526316,"[-4336]",-4336,4336
"502.gcc_r","cpugcc_r.wasm",1,0.010526316,"[-4112]",-4112,4112
"502.gcc_r","cpugcc_r.wasm",1,0.010526316,"[-3440]",-3440,3440
"502.gcc_r","cpugcc_r.wasm",1,0.010526316,"[-3072]",-3072,3072
"502.gcc_r","cpugcc_r.wasm",1,0.010526316,"[-2608]",-2608,2608
"502.gcc_r","cpugcc_r.wasm",1,0.010526316,"[-2272]",-2272,2272
"502.gcc_r","cpugcc_r.wasm",1,0.010526316,"[-2208]",-2208,2208
"502.gcc_r","cpugcc_r.wasm",1,0.010526316,"[-2160]",-2160,2160
"502.gcc_r","cpugcc_r.wasm",1,0.010526316,"[-1392]",-1392,1392
"502.gcc_r","cpugcc_r.wasm",1,0.010526316,"[-1088]",-1088,1088
"502.gcc_r","cpugcc_r.wasm",1,0.010526316,"[-992]",-992,992
"502.gcc_r","cpugcc_r.wasm",1,0.010526316,"[-976]",-976,976
"502.gcc_r","cpugcc_r.wasm",1,0.010526316,"[-928]",-928,928
"502.gcc_r","cpugcc_r.wasm",1,0.010526316,"[-704]",-704,704
"502.gcc_r","cpugcc_r.wasm",1,0.010526316,"[-672]",-672,672
"502.gcc_r","cpugcc_r.wasm",1,0.010526316,"[-640]",-640,640
"502.gcc_r","cpugcc_r.wasm",1,0.010526316,"[-608]",-608,608
"502.gcc_r","cpugcc_r.wasm",1,0.010526316,"[-576]",-576,576
"502.gcc_r","cpugcc_r.wasm",1,0.010526316,"[-544]",-544,544
"502.gcc_r","cpugcc_r.wasm",2,0.021052632,"[-2096]",-2096,2096
"502.gcc_r","cpugcc_r.wasm",2,0.021052632,"[-1728]",-1728,1728
"502.gcc_r","cpugcc_r.wasm",2,0.021052632,"[-1056]",-1056,1056
"502.gcc_r","cpugcc_r.wasm",2,0.021052632,"[-912]",-912,912
"502.gcc_r","cpugcc_r.wasm",2,0.021052632,"[-832]",-832,832
"502.gcc_r","cpugcc_r.wasm",2,0.021052632,"[-656]",-656,656
"502.gcc_r","cpugcc_r.wasm",2,0.021052632,"[-592]",-592,592
"502.gcc_r","cpugcc_r.wasm",2,0.021052632,"[-560]",-560,560
"502.gcc_r","cpugcc_r.wasm",2,0.021052632,"[-464]",-464,464
"502.gcc_r","cpugcc_r.wasm",3,0.031578947,"[-800]",-800,800
"502.gcc_r","cpugcc_r.wasm",3,0.031578947,"[-720]",-720,720
"502.gcc_r","cpugcc_r.wasm",3,0.031578947,"[-512]",-512,512
"502.gcc_r","cpugcc_r.wasm",3,0.031578947,"[-448]",-448,448
"502.gcc_r","cpugcc_r.wasm",4,0.042105265,"[-784]",-784,784
"502.gcc_r","cpugcc_r.wasm",4,0.042105265,"[-432]",-432,432
"502.gcc_r","cpugcc_r.wasm",4,0.042105265,"[-400]",-400,400
"502.gcc_r","cpugcc_r.wasm",4,0.042105265,"[-336]",-336,336
"502.gcc_r","cpugcc_r.wasm",4,0.042105265,"[-272]",-272,272
"502.gcc_r","cpugcc_r.wasm",5,0.05263158,"[-320]",-320,320
"502.gcc_r","cpugcc_r.wasm",6,0.06315789,"[-384]",-384,384
"502.gcc_r","cpugcc_r.wasm",6,0.06315789,"[-368]",-368,368
"502.gcc_r","cpugcc_r.wasm",6,0.06315789,"[-224]",-224,224
"502.gcc_r","cpugcc_r.wasm",7,0.07368421,"[-416]",-416,416
"502.gcc_r","cpugcc_r.wasm",7,0.07368421,"[-288]",-288,288
"502.gcc_r","cpugcc_r.wasm",8,0.08421053,"[-496]",-496,496
"502.gcc_r","cpugcc_r.wasm",8,0.08421053,"[-352]",-352,352
"502.gcc_r","cpugcc_r.wasm",8,0.08421053,"[-304]",-304,304
"502.gcc_r","cpugcc_r.wasm",13,0.1368421,"[-208]",-208,208
"502.gcc_r","cpugcc_r.wasm",13,0.1368421,"[-176]",-176,176
"502.gcc_r","cpugcc_r.wasm",17,0.17894737,"[-240]",-240,240
"502.gcc_r","cpugcc_r.wasm",18,0.18947369,"[-256]",-256,256
"502.gcc_r","cpugcc_r.wasm",18,0.18947369,"[-160]",-160,160
"502.gcc_r","cpugcc_r.wasm",19,0.2,"[-192]",-192,192
"502.gcc_r","cpugcc_r.wasm",34,0.35789475,"[-144]",-144,144
"502.gcc_r","cpugcc_r.wasm",46,0.48421052,"[-112]",-112,112
"502.gcc_r","cpugcc_r.wasm",54,0.56842107,"[-128]",-128,128
"502.gcc_r","cpugcc_r.wasm",74,0.77894735,"[-96]",-96,96
"502.gcc_r","cpugcc_r.wasm",99,1.0421053,"[-80]",-80,80
"502.gcc_r","cpugcc_r.wasm",195,2.0526316,"[-64]",-64,64
"502.gcc_r","cpugcc_r.wasm",311,3.2736843,"[-48]",-48,48
"502.gcc_r","cpugcc_r.wasm",659,6.936842,"[-32]",-32,32
"502.gcc_r","cpugcc_r.wasm",1807,19.021053,"[-16]",-16,16
"502.gcc_r","cpugcc_r.wasm",5991,63.063156,"[]",0,0
"505.mcf_r","mcf_r.wasm",1,0.8064516,"[-16288]",-16288,16288
"505.mcf_r","mcf_r.wasm",1,0.8064516,"[-8960]",-8960,8960
"505.mcf_r","mcf_r.wasm",1,0.8064516,"[-560]",-560,560
"505.mcf_r","mcf_r.wasm",1,0.8064516,"[-432]",-432,432
"505.mcf_r","mcf_r.wasm",1,0.8064516,"[-304]",-304,304
"505.mcf_r","mcf_r.wasm",1,0.8064516,"[-272]",-272,272
"505.mcf_r","mcf_r.wasm",1,0.8064516,"[-256]",-256,256
"505.mcf_r","mcf_r.wasm",1,0.8064516,"[-208]",-208,208
"505.mcf_r","mcf_r.wasm",1,0.8064516,"[-192]",-192,192
"505.mcf_r","mcf_r.wasm",1,0.8064516,"[-160]",-160,160
"505.mcf_r","mcf_r.wasm",1,0.8064516,"[-144]",-144,144
"505.mcf_r","mcf_r.wasm",1,0.8064516,"[-128]",-128,128
"505.mcf_r","mcf_r.wasm",2,1.6129032,"[-112]",-112,112
"505.mcf_r","mcf_r.wasm",2,1.6129032,"[-96]",-96,96
"505.mcf_r","mcf_r.wasm",2,1.6129032,"[-80]",-80,80
"505.mcf_r","mcf_r.wasm",2,1.6129032,"[-48]",-48,48
"505.mcf_r","mcf_r.wasm",5,4.032258,"[-32]",-32,32
"505.mcf_r","mcf_r.wasm",20,16.129032,"[-16]",-16,16
"505.mcf_r","mcf_r.wasm",79,63.70968,"[]",0,0
"508.namd_r","namd_r.wasm",1,0.37453184,"[-8960]",-8960,8960
"508.namd_r","namd_r.wasm",1,0.37453184,"[-3152, -16]",-3168,3168
"508.namd_r","namd_r.wasm",1,0.37453184,"[-1152]",-1152,1152
"508.namd_r","namd_r.wasm",1,0.37453184,"[-1136]",-1136,1136
"508.namd_r","namd_r.wasm",1,0.37453184,"[-1072]",-1072,1072
"508.namd_r","namd_r.wasm",1,0.37453184,"[-1040]",-1040,1040
"508.namd_r","namd_r.wasm",1,0.37453184,"[-432]",-432,432
"508.namd_r","namd_r.wasm",1,0.37453184,"[-336]",-336,336
"508.namd_r","namd_r.wasm",1,0.37453184,"[-304]",-304,304
"508.namd_r","namd_r.wasm",1,0.37453184,"[-272]",-272,272
"508.namd_r","namd_r.wasm",1,0.37453184,"[-256]",-256,256
"508.namd_r","namd_r.wasm",1,0.37453184,"[-208]",-208,208
"508.namd_r","namd_r.wasm",1,0.37453184,"[-144]",-144,144
"508.namd_r","namd_r.wasm",1,0.37453184,"[-112]",-112,112
"508.namd_r","namd_r.wasm",1,0.37453184,"[-96]",-96,96
"508.namd_r","namd_r.wasm",2,0.7490637,"[-1088]",-1088,1088
"508.namd_r","namd_r.wasm",2,0.7490637,"[-560]",-560,560
"508.namd_r","namd_r.wasm",2,0.7490637,"[-192]",-192,192
"508.namd_r","namd_r.wasm",2,0.7490637,"[-160]",-160,160
"508.namd_r","namd_r.wasm",2,0.7490637,"[-64]",-64,64
"508.namd_r","namd_r.wasm",3,1.1235955,"[-128]",-128,128
"508.namd_r","namd_r.wasm",5,1.8726592,"[-32]",-32,32
"508.namd_r","namd_r.wasm",7,2.621723,"[-48]",-48,48
"508.namd_r","namd_r.wasm",8,2.9962547,"[-80]",-80,80
"508.namd_r","namd_r.wasm",25,9.363296,"[-16]",-16,16
"508.namd_r","namd_r.wasm",194,72.65918,"[]",0,0
"510.parest_r","parest_r.wasm",1,0.027196083,"[-8960]",-8960,8960
"510.parest_r","parest_r.wasm",1,0.027196083,"[-5680]",-5680,5680
"510.parest_r","parest_r.wasm",1,0.027196083,"[-5456]",-5456,5456
"510.parest_r","parest_r.wasm",1,0.027196083,"[-5328]",-5328,5328
"510.parest_r","parest_r.wasm",1,0.027196083,"[-1024]",-1024,1024
"510.parest_r","parest_r.wasm",1,0.027196083,"[-960]",-960,960
"510.parest_r","parest_r.wasm",1,0.027196083,"[-912]",-912,912
"510.parest_r","parest_r.wasm",1,0.027196083,"[-896]",-896,896
"510.parest_r","parest_r.wasm",1,0.027196083,"[-880]",-880,880
"510.parest_r","parest_r.wasm",1,0.027196083,"[-864]",-864,864
"510.parest_r","parest_r.wasm",1,0.027196083,"[-736]",-736,736
"510.parest_r","parest_r.wasm",1,0.027196083,"[-720]",-720,720
"510.parest_r","parest_r.wasm",1,0.027196083,"[-704]",-704,704
"510.parest_r","parest_r.wasm",1,0.027196083,"[-688]",-688,688
"510.parest_r","parest_r.wasm",1,0.027196083,"[-656]",-656,656
"510.parest_r","parest_r.wasm",1,0.027196083,"[-640]",-640,640
"510.parest_r","parest_r.wasm",1,0.027196083,"[-624]",-624,624
"510.parest_r","parest_r.wasm",1,0.027196083,"[-608]",-608,608
"510.parest_r","parest_r.wasm",1,0.027196083,"[-400]",-400,400
"510.parest_r","parest_r.wasm",2,0.054392166,"[-1072]",-1072,1072
"510.parest_r","parest_r.wasm",2,0.054392166,"[-1056]",-1056,1056
"510.parest_r","parest_r.wasm",2,0.054392166,"[-1040]",-1040,1040
"510.parest_r","parest_r.wasm",2,0.054392166,"[-944]",-944,944
"510.parest_r","parest_r.wasm",2,0.054392166,"[-592]",-592,592
"510.parest_r","parest_r.wasm",2,0.054392166,"[-576]",-576,576
"510.parest_r","parest_r.wasm",2,0.054392166,"[-368]",-368,368
"510.parest_r","parest_r.wasm",2,0.054392166,"[-320]",-320,320
"510.parest_r","parest_r.wasm",2,0.054392166,"[-32, -16]",-48,48
"510.parest_r","parest_r.wasm",2,0.054392166,"[-32, -16, -16]",-64,64
"510.parest_r","parest_r.wasm",3,0.08158825,"[-512]",-512,512
"510.parest_r","parest_r.wasm",3,0.08158825,"[-384]",-384,384
"510.parest_r","parest_r.wasm",3,0.08158825,"[-336]",-336,336
"510.parest_r","parest_r.wasm",3,0.08158825,"[-240]",-240,240
"510.parest_r","parest_r.wasm",3,0.08158825,"[-16, -16, -16]",-48,48
"510.parest_r","parest_r.wasm",4,0.10878433,"[-496]",-496,496
"510.parest_r","parest_r.wasm",4,0.10878433,"[-432]",-432,432
"510.parest_r","parest_r.wasm",4,0.10878433,"[-224]",-224,224
"510.parest_r","parest_r.wasm",5,0.13598041,"[-528]",-528,528
"510.parest_r","parest_r.wasm",5,0.13598041,"[-416]",-416,416
"510.parest_r","parest_r.wasm",5,0.13598041,"[-256]",-256,256
"510.parest_r","parest_r.wasm",6,0.1631765,"[-480]",-480,480
"510.parest_r","parest_r.wasm",6,0.1631765,"[-288]",-288,288
"510.parest_r","parest_r.wasm",6,0.1631765,"[-208]",-208,208
"510.parest_r","parest_r.wasm",7,0.19037259,"[-560]",-560,560
"510.parest_r","parest_r.wasm",7,0.19037259,"[-544]",-544,544
"510.parest_r","parest_r.wasm",7,0.19037259,"[-464]",-464,464
"510.parest_r","parest_r.wasm",7,0.19037259,"[-304]",-304,304
"510.parest_r","parest_r.wasm",7,0.19037259,"[-176]",-176,176
"510.parest_r","parest_r.wasm",8,0.21756867,"[-192]",-192,192
"510.parest_r","parest_r.wasm",9,0.24476476,"[-448]",-448,448
"510.parest_r","parest_r.wasm",12,0.326353,"[-352]",-352,352
"510.parest_r","parest_r.wasm",14,0.38074517,"[-16, -16]",-32,32
"510.parest_r","parest_r.wasm",17,0.4623334,"[-272]",-272,272
"510.parest_r","parest_r.wasm",22,0.59831387,"[-160]",-160,160
"510.parest_r","parest_r.wasm",22,0.59831387,"[-128]",-128,128
"510.parest_r","parest_r.wasm",28,0.76149035,"[-144]",-144,144
"510.parest_r","parest_r.wasm",51,1.3870003,"[-112]",-112,112
"510.parest_r","parest_r.wasm",69,1.8765298,"[-96]",-96,96
"510.parest_r","parest_r.wasm",81,2.2028828,"[-80]",-80,80
"510.parest_r","parest_r.wasm",89,2.4204514,"[-64]",-64,64
"510.parest_r","parest_r.wasm",160,4.351373,"[-48]",-48,48
"510.parest_r","parest_r.wasm",181,4.922491,"[-32]",-32,32
"510.parest_r","parest_r.wasm",378,10.28012,"[-16]",-16,16
"510.parest_r","parest_r.wasm",2402,65.325,"[]",0,0
"511.povray_r","povray_r.wasm",1,0.072516315,"[-24640]",-24640,24640
"511.povray_r","povray_r.wasm",1,0.072516315,"[-24608]",-24608,24608
"511.povray_r","povray_r.wasm",1,0.072516315,"[-8960]",-8960,8960
"511.povray_r","povray_r.wasm",1,0.072516315,"[-5392]",-5392,5392
"511.povray_r","povray_r.wasm",1,0.072516315,"[-4176]",-4176,4176
"511.povray_r","povray_r.wasm",1,0.072516315,"[-2544]",-2544,2544
"511.povray_r","povray_r.wasm",1,0.072516315,"[-2176]",-2176,2176
"511.povray_r","povray_r.wasm",1,0.072516315,"[-1872]",-1872,1872
"511.povray_r","povray_r.wasm",1,0.072516315,"[-1584]",-1584,1584
"511.povray_r","povray_r.wasm",1,0.072516315,"[-1536]",-1536,1536
"511.povray_r","povray_r.wasm",1,0.072516315,"[-1136]",-1136,1136
"511.povray_r","povray_r.wasm",1,0.072516315,"[-1024]",-1024,1024
"511.povray_r","povray_r.wasm",1,0.072516315,"[-1008]",-1008,1008
"511.povray_r","povray_r.wasm",1,0.072516315,"[-992]",-992,992
"511.povray_r","povray_r.wasm",1,0.072516315,"[-816]",-816,816
"511.povray_r","povray_r.wasm",1,0.072516315,"[-800]",-800,800
"511.povray_r","povray_r.wasm",1,0.072516315,"[-672]",-672,672
"511.povray_r","povray_r.wasm",1,0.072516315,"[-624]",-624,624
"511.povray_r","povray_r.wasm",1,0.072516315,"[-608]",-608,608
"511.povray_r","povray_r.wasm",1,0.072516315,"[-592]",-592,592
"511.povray_r","povray_r.wasm",1,0.072516315,"[-528]",-528,528
"511.povray_r","povray_r.wasm",1,0.072516315,"[-464]",-464,464
"511.povray_r","povray_r.wasm",1,0.072516315,"[-384]",-384,384
"511.povray_r","povray_r.wasm",1,0.072516315,"[-336]",-336,336
"511.povray_r","povray_r.wasm",1,0.072516315,"[-320]",-320,320
"511.povray_r","povray_r.wasm",2,0.14503263,"[-4096]",-4096,4096
"511.povray_r","povray_r.wasm",2,0.14503263,"[-864]",-864,864
"511.povray_r","povray_r.wasm",2,0.14503263,"[-720]",-720,720
"511.povray_r","povray_r.wasm",2,0.14503263,"[-688]",-688,688
"511.povray_r","povray_r.wasm",2,0.14503263,"[-656]",-656,656
"511.povray_r","povray_r.wasm",2,0.14503263,"[-432]",-432,432
"511.povray_r","povray_r.wasm",2,0.14503263,"[-304]",-304,304
"511.povray_r","povray_r.wasm",2,0.14503263,"[-208]",-208,208
"511.povray_r","povray_r.wasm",3,0.21754895,"[-1040]",-1040,1040
"511.povray_r","povray_r.wasm",3,0.21754895,"[-752]",-752,752
"511.povray_r","povray_r.wasm",3,0.21754895,"[-480]",-480,480
"511.povray_r","povray_r.wasm",3,0.21754895,"[-448]",-448,448
"511.povray_r","povray_r.wasm",3,0.21754895,"[-400]",-400,400
"511.povray_r","povray_r.wasm",3,0.21754895,"[-272]",-272,272
"511.povray_r","povray_r.wasm",3,0.21754895,"[-240]",-240,240
"511.povray_r","povray_r.wasm",3,0.21754895,"[-224]",-224,224
"511.povray_r","povray_r.wasm",4,0.29006526,"[-4112]",-4112,4112
"511.povray_r","povray_r.wasm",4,0.29006526,"[-144]",-144,144
"511.povray_r","povray_r.wasm",5,0.36258158,"[-496]",-496,496
"511.povray_r","povray_r.wasm",5,0.36258158,"[-288]",-288,288
"511.povray_r","povray_r.wasm",6,0.4350979,"[-560]",-560,560
"511.povray_r","povray_r.wasm",6,0.4350979,"[-176]",-176,176
"511.povray_r","povray_r.wasm",7,0.5076142,"[-160]",-160,160
"511.povray_r","povray_r.wasm",9,0.65264684,"[-192]",-192,192
"511.povray_r","povray_r.wasm",9,0.65264684,"[-96]",-96,96
"511.povray_r","povray_r.wasm",11,0.7976795,"[-112]",-112,112
"511.povray_r","povray_r.wasm",12,0.8701958,"[-1056]",-1056,1056
"511.povray_r","povray_r.wasm",12,0.8701958,"[-416]",-416,416
"511.povray_r","povray_r.wasm",12,0.8701958,"[-128]",-128,128
"511.povray_r","povray_r.wasm",16,1.160261,"[-80]",-80,80
"511.povray_r","povray_r.wasm",18,1.3052937,"[-256]",-256,256
"511.povray_r","povray_r.wasm",19,1.37781,"[-48]",-48,48
"511.povray_r","povray_r.wasm",58,4.2059464,"[-64]",-64,64
"511.povray_r","povray_r.wasm",94,6.8165336,"[-32]",-32,32
"511.povray_r","povray_r.wasm",114,8.26686,"[-16]",-16,16
"511.povray_r","povray_r.wasm",893,64.75707,"[]",0,0
"519.lbm_r","lbm_r.wasm",1,1.4925373,"[-560]",-560,560
"519.lbm_r","lbm_r.wasm",1,1.4925373,"[-304]",-304,304
"519.lbm_r","lbm_r.wasm",1,1.4925373,"[-256]",-256,256
"519.lbm_r","lbm_r.wasm",1,1.4925373,"[-208]",-208,208
"519.lbm_r","lbm_r.wasm",1,1.4925373,"[-128]",-128,128
"519.lbm_r","lbm_r.wasm",1,1.4925373,"[-80]",-80,80
"519.lbm_r","lbm_r.wasm",1,1.4925373,"[-64]",-64,64
"519.lbm_r","lbm_r.wasm",2,2.9850745,"[-32]",-32,32
"519.lbm_r","lbm_r.wasm",3,4.477612,"[-48]",-48,48
"519.lbm_r","lbm_r.wasm",9,13.432836,"[-16]",-16,16
"519.lbm_r","lbm_r.wasm",46,68.656715,"[]",0,0
"523.xalancbmk_r","cpuxalan_r.wasm",1,0.0125817815,"[-8960]",-8960,8960
"523.xalancbmk_r","cpuxalan_r.wasm",1,0.0125817815,"[-8032]",-8032,8032
"523.xalancbmk_r","cpuxalan_r.wasm",1,0.0125817815,"[-2128]",-2128,2128
"523.xalancbmk_r","cpuxalan_r.wasm",1,0.0125817815,"[-2096]",-2096,2096
"523.xalancbmk_r","cpuxalan_r.wasm",1,0.0125817815,"[-2000]",-2000,2000
"523.xalancbmk_r","cpuxalan_r.wasm",1,0.0125817815,"[-1792]",-1792,1792
"523.xalancbmk_r","cpuxalan_r.wasm",1,0.0125817815,"[-1360]",-1360,1360
"523.xalancbmk_r","cpuxalan_r.wasm",1,0.0125817815,"[-1296]",-1296,1296
"523.xalancbmk_r","cpuxalan_r.wasm",1,0.0125817815,"[-1072]",-1072,1072
"523.xalancbmk_r","cpuxalan_r.wasm",1,0.0125817815,"[-736]",-736,736
"523.xalancbmk_r","cpuxalan_r.wasm",1,0.0125817815,"[-640]",-640,640
"523.xalancbmk_r","cpuxalan_r.wasm",1,0.0125817815,"[-624]",-624,624
"523.xalancbmk_r","cpuxalan_r.wasm",1,0.0125817815,"[-608]",-608,608
"523.xalancbmk_r","cpuxalan_r.wasm",1,0.0125817815,"[-512]",-512,512
"523.xalancbmk_r","cpuxalan_r.wasm",1,0.0125817815,"[-496]",-496,496
"523.xalancbmk_r","cpuxalan_r.wasm",1,0.0125817815,"[-464]",-464,464
"523.xalancbmk_r","cpuxalan_r.wasm",1,0.0125817815,"[-448]",-448,448
"523.xalancbmk_r","cpuxalan_r.wasm",1,0.0125817815,"[-400]",-400,400
"523.xalancbmk_r","cpuxalan_r.wasm",1,0.0125817815,"[-240]",-240,240
"523.xalancbmk_r","cpuxalan_r.wasm",2,0.025163563,"[-8192]",-8192,8192
"523.xalancbmk_r","cpuxalan_r.wasm",2,0.025163563,"[-4144]",-4144,4144
"523.xalancbmk_r","cpuxalan_r.wasm",2,0.025163563,"[-2064]",-2064,2064
"523.xalancbmk_r","cpuxalan_r.wasm",2,0.025163563,"[-1040]",-1040,1040
"523.xalancbmk_r","cpuxalan_r.wasm",2,0.025163563,"[-544]",-544,544
"523.xalancbmk_r","cpuxalan_r.wasm",2,0.025163563,"[-432]",-432,432
"523.xalancbmk_r","cpuxalan_r.wasm",2,0.025163563,"[-416]",-416,416
"523.xalancbmk_r","cpuxalan_r.wasm",2,0.025163563,"[-368]",-368,368
"523.xalancbmk_r","cpuxalan_r.wasm",2,0.025163563,"[-320]",-320,320
"523.xalancbmk_r","cpuxalan_r.wasm",2,0.025163563,"[-304]",-304,304
"523.xalancbmk_r","cpuxalan_r.wasm",2,0.025163563,"[-192]",-192,192
"523.xalancbmk_r","cpuxalan_r.wasm",2,0.025163563,"[-32, -16]",-48,48
"523.xalancbmk_r","cpuxalan_r.wasm",2,0.025163563,"[-32, -16, -16]",-64,64
"523.xalancbmk_r","cpuxalan_r.wasm",2,0.025163563,"[-16, -16, -16]",-48,48
"523.xalancbmk_r","cpuxalan_r.wasm",3,0.037745345,"[-4128]",-4128,4128
"523.xalancbmk_r","cpuxalan_r.wasm",3,0.037745345,"[-4096]",-4096,4096
"523.xalancbmk_r","cpuxalan_r.wasm",3,0.037745345,"[-528]",-528,528
"523.xalancbmk_r","cpuxalan_r.wasm",3,0.037745345,"[-384]",-384,384
"523.xalancbmk_r","cpuxalan_r.wasm",3,0.037745345,"[-256]",-256,256
"523.xalancbmk_r","cpuxalan_r.wasm",3,0.037745345,"[-224]",-224,224
"523.xalancbmk_r","cpuxalan_r.wasm",4,0.050327126,"[-560]",-560,560
"523.xalancbmk_r","cpuxalan_r.wasm",5,0.06290891,"[-4112]",-4112,4112
"523.xalancbmk_r","cpuxalan_r.wasm",7,0.08807247,"[-2048]",-2048,2048
"523.xalancbmk_r","cpuxalan_r.wasm",7,0.08807247,"[-112]",-112,112
"523.xalancbmk_r","cpuxalan_r.wasm",8,0.10065425,"[-352]",-352,352
"523.xalancbmk_r","cpuxalan_r.wasm",9,0.11323603,"[-128]",-128,128
"523.xalancbmk_r","cpuxalan_r.wasm",10,0.12581782,"[-8000]",-8000,8000
