benchmark,binary,class,size,count,source
"510.parest_r","parest_r.wasm",25,4,2,"i32.load"
"510.parest_r","parest_r.wasm",26,44,1,"local.(get|tee)"
"510.parest_r","parest_r.wasm",27,3,1,"i32.load"
"510.parest_r","parest_r.wasm",28,4,2,"i32.load"
"510.parest_r","parest_r.wasm",29,31,2,"local.(get|tee)"
"510.parest_r","parest_r.wasm",30,3,2,"i32.load"
"510.parest_r","parest_r.wasm",31,3,1,"local.(get|tee)"
"510.parest_r","parest_r.wasm",32,2,1,"local.(get|tee)"
"510.parest_r","parest_r.wasm",33,30,1,"local.(get|tee)"
"510.parest_r","parest_r.wasm",34,9,12,"i32.load"
"510.parest_r","parest_r.wasm",35,22,3,"local.(get|tee)"
"510.parest_r","parest_r.wasm",36,2,1,"local.(get|tee)"
"510.parest_r","parest_r.wasm",37,2,1,"other"
"510.parest_r","parest_r.wasm",38,2,1,"local.(get|tee)"
"510.parest_r","parest_r.wasm",39,22,5,"i32.load"
"510.parest_r","parest_r.wasm",40,189,1,"local.(get|tee)"
"510.parest_r","parest_r.wasm",41,2,1,"local.(get|tee)"
"510.parest_r","parest_r.wasm",42,42,7,"i32.load"
"510.parest_r","parest_r.wasm",43,122,1,"other"
"510.parest_r","parest_r.wasm",44,46,1,"local.(get|tee)"
"510.parest_r","parest_r.wasm",45,5,1,"other"
"510.parest_r","parest_r.wasm",46,2,1,"local.(get|tee)"
"510.parest_r","parest_r.wasm",47,1,1,"i32.const"
"510.parest_r","parest_r.wasm",48,122,16,"i32.load"
"510.parest_r","parest_r.wasm",49,1,1,"local.(get|tee)"
"510.parest_r","parest_r.wasm",50,1,1,"i32.const"
"510.parest_r","parest_r.wasm",51,44,6,"i32.load"
"510.parest_r","parest_r.wasm",52,10,1,"local.(get|tee)"
"510.parest_r","parest_r.wasm",53,3,1,"i32.load"
"510.parest_r","parest_r.wasm",54,458,2,"local.(get|tee)"
"510.parest_r","parest_r.wasm",55,11,1,"local.(get|tee)"
"510.parest_r","parest_r.wasm",56,46,8,"i32.load"
"510.parest_r","parest_r.wasm",57,2,1,"local.(get|tee)"
"510.parest_r","parest_r.wasm",58,3,1,"local.(get|tee)"
"510.parest_r","parest_r.wasm",59,30,1,"other"
"510.parest_r","parest_r.wasm",60,2,2,"i32.load"
"510.parest_r","parest_r.wasm",61,1,1,"local.(get|tee)"
"510.parest_r","parest_r.wasm",62,465,110,"i32.load"
"510.parest_r","parest_r.wasm",63,1,1,"local.(get|tee)"
"510.parest_r","parest_r.wasm",64,2,1,"local.(get|tee)"
"510.parest_r","parest_r.wasm",65,22,3,"i32.load"
"510.parest_r","parest_r.wasm",66,458,1,"other"
"510.parest_r","parest_r.wasm",67,386,199,"i32.load"
"510.parest_r","parest_r.wasm",68,30,9,"i32.load"
"510.parest_r","parest_r.wasm",69,1,1,"local.(get|tee)"
"510.parest_r","parest_r.wasm",70,2,1,"i32.load"
"510.parest_r","parest_r.wasm",71,12,1,"local.(get|tee)"
"510.parest_r","parest_r.wasm",72,4,1,"other"
"510.parest_r","parest_r.wasm",73,12,2,"local.(get|tee)"
"510.parest_r","parest_r.wasm",74,386,1,"other"
"510.parest_r","parest_r.wasm",75,1,1,"local.(get|tee)"
"510.parest_r","parest_r.wasm",76,2,1,"local.(get|tee)"
"510.parest_r","parest_r.wasm",77,4,1,"other"
"510.parest_r","parest_r.wasm",78,95,18,"i32.load"
"510.parest_r","parest_r.wasm",79,2,1,"i32.load"
"510.parest_r","parest_r.wasm",80,1,1,"local.(get|tee)"
"510.parest_r","parest_r.wasm",81,2,1,"local.(get|tee)"
"510.parest_r","parest_r.wasm",82,95,1,"other"
"510.parest_r","parest_r.wasm",83,458,185,"i32.load"
"510.parest_r","parest_r.wasm",84,1,1,"local.(get|tee)"
"510.parest_r","parest_r.wasm",85,3,1,"i32.load"
"510.parest_r","parest_r.wasm",86,22,4,"local.(get|tee)"
"510.parest_r","parest_r.wasm",87,34,1,"local.(get|tee)"
"510.parest_r","parest_r.wasm",88,1,1,"local.(get|tee)"
"510.parest_r","parest_r.wasm",89,253,180,"i32.load"
"510.parest_r","parest_r.wasm",90,378,1,"local.(get|tee)"
"510.parest_r","parest_r.wasm",91,5,1,"local.(get|tee)"
"510.parest_r","parest_r.wasm",92,7,1,"local.(get|tee)"
"510.parest_r","parest_r.wasm",93,386,162,"local.(get|tee)"
"510.parest_r","parest_r.wasm",94,95,9,"local.(get|tee)"
"510.parest_r","parest_r.wasm",95,189,51,"i32.load"
"510.parest_r","parest_r.wasm",96,465,1,"local.(get|tee)"
"511.povray_r","povray_r.wasm",0,4,2,"i32.load"
"511.povray_r","povray_r.wasm",1,60,1,"local.(get|tee)"
"511.povray_r","povray_r.wasm",2,1,1,"local.(get|tee)"
"511.povray_r","povray_r.wasm",3,50,9,"i32.load"
"511.povray_r","povray_r.wasm",4,13,4,"i32.load"
"511.povray_r","povray_r.wasm",5,50,2,"local.(get|tee)"
"511.povray_r","povray_r.wasm",6,64,1,"local.(get|tee)"
"511.povray_r","povray_r.wasm",7,52,2,"local.(get|tee)"
"511.povray_r","povray_r.wasm",8,79,1,"i32.load"
"511.povray_r","povray_r.wasm",9,18,1,"other"
"511.povray_r","povray_r.wasm",10,2,3,"i32.load"
"511.povray_r","povray_r.wasm",11,50,31,"local.(get|tee)"
"511.povray_r","povray_r.wasm",12,18,4,"i32.load"
"511.povray_r","povray_r.wasm",13,52,57,"i32.load"
"511.povray_r","povray_r.wasm",14,13,2,"local.(get|tee)"
"511.povray_r","povray_r.wasm",15,7,2,"local.(get|tee)"
"511.povray_r","povray_r.wasm",16,2,2,"i32.load"
"511.povray_r","povray_r.wasm",17,18,4,"local.(get|tee)"
"511.povray_r","povray_r.wasm",18,19,1,"i32.load"
"511.povray_r","povray_r.wasm",19,2,1,"local.(get|tee)"
"511.povray_r","povray_r.wasm",20,91,27,"i32.load"
"511.povray_r","povray_r.wasm",21,4,1,"local.(get|tee)"
"511.povray_r","povray_r.wasm",22,60,7,"i32.load"
"511.povray_r","povray_r.wasm",23,2,1,"i32.load"
"511.povray_r","povray_r.wasm",24,2,1,"local.(get|tee)"
"511.povray_r","povray_r.wasm",25,4,1,"i32.load"
"511.povray_r","povray_r.wasm",26,91,19,"local.(get|tee)"
"511.povray_r","povray_r.wasm",27,50,12,"i32.load"
"511.povray_r","povray_r.wasm",28,64,28,"i32.load"
"519.lbm_r","lbm_r.wasm",0,2,1,"i32.load"
"519.lbm_r","lbm_r.wasm",1,1,1,"local.(get|tee)"
"519.lbm_r","lbm_r.wasm",2,2,1,"i32.load"
"519.lbm_r","lbm_r.wasm",3,0,1,"i32.const"
"519.lbm_r","lbm_r.wasm",4,2,8,"i32.load"
"520.omnetpp_r","omnetpp_r.wasm",0,0,1,"local.(get|tee)"
"520.omnetpp_r","omnetpp_r.wasm",1,1,1,"local.(get|tee)"
"520.omnetpp_r","omnetpp_r.wasm",2,24,16,"i32.load"
"520.omnetpp_r","omnetpp_r.wasm",3,1,1,"local.(get|tee)"
"520.omnetpp_r","omnetpp_r.wasm",4,2,1,"local.(get|tee)"
"520.omnetpp_r","omnetpp_r.wasm",5,4,4,"i32.load"
"520.omnetpp_r","omnetpp_r.wasm",6,17,1,"local.(get|tee)"
"520.omnetpp_r","omnetpp_r.wasm",7,1,1,"local.(get|tee)"
"520.omnetpp_r","omnetpp_r.wasm",8,2,1,"local.(get|tee)"
"520.omnetpp_r","omnetpp_r.wasm",9,840,1631,"i32.load"
"520.omnetpp_r","omnetpp_r.wasm",10,133,65,"i32.load"
"520.omnetpp_r","omnetpp_r.wasm",11,1,1,"local.(get|tee)"
"520.omnetpp_r","omnetpp_r.wasm",12,11,1,"local.(get|tee)"
"520.omnetpp_r","omnetpp_r.wasm",13,416,8,"local.(get|tee)"
"520.omnetpp_r","omnetpp_r.wasm",14,73,1,"local.(get|tee)"
"520.omnetpp_r","omnetpp_r.wasm",15,1,1,"local.(get|tee)"
"520.omnetpp_r","omnetpp_r.wasm",16,13,1,"local.(get|tee)"
"520.omnetpp_r","omnetpp_r.wasm",17,306,1,"i32.load"
"520.omnetpp_r","omnetpp_r.wasm",18,2,1,"local.(get|tee)"
"520.omnetpp_r","omnetpp_r.wasm",19,4,1,"i32.load"
"520.omnetpp_r","omnetpp_r.wasm",20,0,1,"local.(get|tee)"
"520.omnetpp_r","omnetpp_r.wasm",21,1,1,"local.(get|tee)"
"520.omnetpp_r","omnetpp_r.wasm",22,358,221,"i32.load"
"520.omnetpp_r","omnetpp_r.wasm",23,54,26,"i32.load"
"520.omnetpp_r","omnetpp_r.wasm",24,358,3,"local.(get|tee)"
"520.omnetpp_r","omnetpp_r.wasm",25,2,1,"local.(get|tee)"
"520.omnetpp_r","omnetpp_r.wasm",26,4,1,"local.(get|tee)"
"520.omnetpp_r","omnetpp_r.wasm",27,358,1,"other"
"520.omnetpp_r","omnetpp_r.wasm",28,106,26,"i32.load"
"520.omnetpp_r","omnetpp_r.wasm",29,73,2,"i32.load"
"520.omnetpp_r","omnetpp_r.wasm",30,133,8,"local.(get|tee)"
"520.omnetpp_r","omnetpp_r.wasm",31,2,1,"local.(get|tee)"
"520.omnetpp_r","omnetpp_r.wasm",32,110,72,"i32.load"
"520.omnetpp_r","omnetpp_r.wasm",33,1,1,"local.(get|tee)"
"520.omnetpp_r","omnetpp_r.wasm",34,24,1,"local.(get|tee)"
"520.omnetpp_r","omnetpp_r.wasm",35,88,1,"local.(get|tee)"
"520.omnetpp_r","omnetpp_r.wasm",36,306,2,"local.(get|tee)"
"520.omnetpp_r","omnetpp_r.wasm",37,36,1,"local.(get|tee)"
"520.omnetpp_r","omnetpp_r.wasm",38,558,743,"i32.load"
"520.omnetpp_r","omnetpp_r.wasm",39,5,1,"i32.load"
"520.omnetpp_r","omnetpp_r.wasm",40,1,2,"i32.load"
"520.omnetpp_r","omnetpp_r.wasm",41,17,11,"i32.load"
"520.omnetpp_r","omnetpp_r.wasm",42,88,56,"i32.load"
"520.omnetpp_r","omnetpp_r.wasm",43,3,1,"i32.load"
"520.omnetpp_r","omnetpp_r.wasm",44,2,2,"i32.load"
"520.omnetpp_r","omnetpp_r.wasm",45,34,4,"local.(get|tee)"
"520.omnetpp_r","omnetpp_r.wasm",46,293,271,"i32.load"
"520.omnetpp_r","omnetpp_r.wasm",47,110,1,"local.(get|tee)"
"520.omnetpp_r","omnetpp_r.wasm",48,6,1,"local.(get|tee)"
"520.omnetpp_r","omnetpp_r.wasm",49,4,1,"local.(get|tee)"
"520.omnetpp_r","omnetpp_r.wasm",50,5,1,"local.(get|tee)"
"520.omnetpp_r","omnetpp_r.wasm",51,7,4,"i32.load"
"520.omnetpp_r","omnetpp_r.wasm",52,2,2,"i32.load"
"520.omnetpp_r","omnetpp_r.wasm",53,2,3,"i32.load"
"520.omnetpp_r","omnetpp_r.wasm",54,3,1,"i32.load"
"520.omnetpp_r","omnetpp_r.wasm",55,54,1,"local.(get|tee)"
"520.omnetpp_r","omnetpp_r.wasm",56,7,3,"local.(get|tee)"
"520.omnetpp_r","omnetpp_r.wasm",57,1,1,"local.(get|tee)"
"520.omnetpp_r","omnetpp_r.wasm",58,1,6,"i32.load"
"520.omnetpp_r","omnetpp_r.wasm",59,11,6,"i32.load"
"520.omnetpp_r","omnetpp_r.wasm",60,293,4,"local.(get|tee)"
"520.omnetpp_r","omnetpp_r.wasm",61,0,1,"local.(get|tee)"
"520.omnetpp_r","omnetpp_r.wasm",62,2,1,"local.(get|tee)"
"520.omnetpp_r","omnetpp_r.wasm",63,0,1,"local.(get|tee)"
"520.omnetpp_r","omnetpp_r.wasm",64,3,1,"local.(get|tee)"
"520.omnetpp_r","omnetpp_r.wasm",65,1,1,"i32.load"
"520.omnetpp_r","omnetpp_r.wasm",66,6,1,"i32.load"
"520.omnetpp_r","omnetpp_r.wasm",67,840,3,"local.(get|tee)"
"520.omnetpp_r","omnetpp_r.wasm",68,34,53,"i32.load"
"520.omnetpp_r","omnetpp_r.wasm",69,4,2,"i32.load"
"520.omnetpp_r","omnetpp_r.wasm",70,36,12,"i32.load"
"520.omnetpp_r","omnetpp_r.wasm",71,1,1,"local.(get|tee)"
"520.omnetpp_r","omnetpp_r.wasm",72,106,3,"local.(get|tee)"
"520.omnetpp_r","omnetpp_r.wasm",73,558,2,"local.(get|tee)"
"520.omnetpp_r","omnetpp_r.wasm",74,4,1,"local.(get|tee)"
"520.omnetpp_r","omnetpp_r.wasm",75,3,3,"i32.load"
"520.omnetpp_r","omnetpp_r.wasm",76,1,7,"i32.const"
"520.omnetpp_r","omnetpp_r.wasm",77,416,1207,"i32.load"
"520.omnetpp_r","omnetpp_r.wasm",78,8,1,"local.(get|tee)"
"523.xalancbmk_r","cpuxalan_r.wasm",0,4,1,"local.(get|tee)"
"523.xalancbmk_r","cpuxalan_r.wasm",1,1,1,"local.(get|tee)"
"523.xalancbmk_r","cpuxalan_r.wasm",2,18,1,"local.(get|tee)"
"523.xalancbmk_r","cpuxalan_r.wasm",3,7,1,"i32.load"
"523.xalancbmk_r","cpuxalan_r.wasm",4,2,1,"i32.load"
"523.xalancbmk_r","cpuxalan_r.wasm",5,4,1,"local.(get|tee)"
"523.xalancbmk_r","cpuxalan_r.wasm",6,44,14,"i32.load"
"523.xalancbmk_r","cpuxalan_r.wasm",7,4,1,"local.(get|tee)"
"523.xalancbmk_r","cpuxalan_r.wasm",8,5,1,"local.(get|tee)"
"523.xalancbmk_r","cpuxalan_r.wasm",9,349,303,"i32.load"
"523.xalancbmk_r","cpuxalan_r.wasm",10,19,1,"local.(get|tee)"
"523.xalancbmk_r","cpuxalan_r.wasm",11,820,3265,"i32.load"
"523.xalancbmk_r","cpuxalan_r.wasm",12,24,1,"local.(get|tee)"
"523.xalancbmk_r","cpuxalan_r.wasm",13,2,1,"local.(get|tee)"
"523.xalancbmk_r","cpuxalan_r.wasm",14,1,1,"local.(get|tee)"
"523.xalancbmk_r","cpuxalan_r.wasm",15,1006,2,"other"
"523.xalancbmk_r","cpuxalan_r.wasm",16,1006,1,"local.(get|tee)"
"523.xalancbmk_r","cpuxalan_r.wasm",17,265,375,"i32.load"
"523.xalancbmk_r","cpuxalan_r.wasm",18,19,10,"i32.load"
"523.xalancbmk_r","cpuxalan_r.wasm",19,324,41,"other"
"523.xalancbmk_r","cpuxalan_r.wasm",20,31,1,"local.(get|tee)"
"523.xalancbmk_r","cpuxalan_r.wasm",21,6,1,"local.(get|tee)"
"523.xalancbmk_r","cpuxalan_r.wasm",22,24,1,"i32.load"
"523.xalancbmk_r","cpuxalan_r.wasm",23,349,43,"local.(get|tee)"
"523.xalancbmk_r","cpuxalan_r.wasm",24,152,62,"i32.load"
"523.xalancbmk_r","cpuxalan_r.wasm",25,3,1,"i32.load"
"523.xalancbmk_r","cpuxalan_r.wasm",26,2,1,"local.(get|tee)"
"523.xalancbmk_r","cpuxalan_r.wasm",27,2,1,"local.(get|tee)"
"523.xalancbmk_r","cpuxalan_r.wasm",28,2,1,"i32.load"
"523.xalancbmk_r","cpuxalan_r.wasm",29,94,3,"local.(get|tee)"
"523.xalancbmk_r","cpuxalan_r.wasm",30,77,1,"local.(get|tee)"
"523.xalancbmk_r","cpuxalan_r.wasm",31,18,13,"i32.load"
"523.xalancbmk_r","cpuxalan_r.wasm",32,116,13,"i32.load"
"523.xalancbmk_r","cpuxalan_r.wasm",33,19,1,"local.(get|tee)"
"523.xalancbmk_r","cpuxalan_r.wasm",34,31,6,"i32.load"
"523.xalancbmk_r","cpuxalan_r.wasm",35,324,704,"i32.load"
"523.xalancbmk_r","cpuxalan_r.wasm",36,1006,747,"i32.load"
"523.xalancbmk_r","cpuxalan_r.wasm",37,88,10,"i32.load"
"523.xalancbmk_r","cpuxalan_r.wasm",38,23,1,"local.(get|tee)"
"523.xalancbmk_r","cpuxalan_r.wasm",39,2,42,"i32.load"
"523.xalancbmk_r","cpuxalan_r.wasm",40,812,1,"other"
"523.xalancbmk_r","cpuxalan_r.wasm",41,812,7,"local.(get|tee)"
"523.xalancbmk_r","cpuxalan_r.wasm",42,1444,1,"other"
"523.xalancbmk_r","cpuxalan_r.wasm",43,3,1,"local.(get|tee)"
"523.xalancbmk_r","cpuxalan_r.wasm",44,820,6,"local.(get|tee)"
"523.xalancbmk_r","cpuxalan_r.wasm",45,152,1,"local.(get|tee)"
"523.xalancbmk_r","cpuxalan_r.wasm",46,0,2,"i32.load"
"523.xalancbmk_r","cpuxalan_r.wasm",47,2,1,"local.(get|tee)"
"523.xalancbmk_r","cpuxalan_r.wasm",48,1,1,"local.(get|tee)"
"523.xalancbmk_r","cpuxalan_r.wasm",49,88,1,"local.(get|tee)"
"523.xalancbmk_r","cpuxalan_r.wasm",50,265,1,"local.(get|tee)"
"523.xalancbmk_r","cpuxalan_r.wasm",51,23,65,"i32.load"
"523.xalancbmk_r","cpuxalan_r.wasm",52,409,544,"i32.load"
"523.xalancbmk_r","cpuxalan_r.wasm",53,7,1,"local.(get|tee)"
"523.xalancbmk_r","cpuxalan_r.wasm",54,409,12,"other"
"523.xalancbmk_r","cpuxalan_r.wasm",55,77,61,"i32.load"
